Lineage,MIN(collection_date),数量
B.1.1.299,2020-05-22,79
B.1.1.3,2020-03-18,109
B.1.1.30,2020-05-18,13
B.1.1.300,2020-06-11,92
B.1.1.301,2020-05-22,837
B.1.1.302,2020-07-06,484
B.1.1.303,2020-06-09,362
B.1.1.304,2020-03-31,368
B.1.1.305,2020-04-10,248
B.1.1.306,2020-03-01,2094
B.1.1.307,2020-07-29,2178
B.1.1.308,2020-08-31,84
B.1.1.309,2020-05-20,168
B.1.1.31,2020-06-07,15
B.1.1.310,2020-05-15,67
B.1.1.311,2020-07-29,2717
B.1.1.312,2020-08-13,476
B.1.1.315,2020-08-01,111
B.1.1.316,2020-05-17,1235
B.1.1.317,2020-03-19,2618
B.1.1.318,2020-05-14,3965
B.1.1.319,2020-03-02,38
B.1.1.320,2020-09-01,65
B.1.1.322,2020-04-13,124
B.1.1.323,2020-02-29,71
B.1.1.324,2020-04-05,21
B.1.1.325,2020-07-16,40
B.1.1.326,2020-03-23,584
B.1.1.327,2020-11-22,7
B.1.1.328,2020-05-04,140
B.1.1.329,2020-06-02,303
B.1.1.33,2020-03-01,3183
B.1.1.330,2021-01-02,15
B.1.1.331,2020-02-26,105
B.1.1.332,2020-07-01,40
B.1.1.333,2020-01-29,964
B.1.1.334,2020-05-23,7
B.1.1.335,2020-03-19,58
B.1.1.336,2020-09-01,85
B.1.1.337,2020-06-27,352
B.1.1.338,2020-12-02,59
B.1.1.339,2020-03-19,96
B.1.1.34,2020-04-15,72
B.1.1.340,2020-04-06,21
B.1.1.341,2020-09-14,17
B.1.1.342,2020-06-16,17
B.1.1.343,2020-11-09,20
B.1.1.344,2020-04-09,105
B.1.1.345,2020-11-10,24
B.1.1.346,2020-09-21,34
B.1.1.347,2020-07-14,55
B.1.1.348,2020-04-30,1483
B.1.1.349,2020-08-04,113
B.1.1.350,2020-03-23,15
B.1.1.351,2020-09-10,388
B.1.1.352,2020-09-29,45
B.1.1.353,2020-09-08,52
B.1.1.354,2020-05-19,347
B.1.1.355,2020-09-10,59
B.1.1.356,2020-05-20,99
B.1.1.357,2020-07-01,10
B.1.1.358,2020-09-10,38
B.1.1.359,2020-04-10,66
B.1.1.360,2020-04-03,43
B.1.1.361,2020-06-04,21
B.1.1.362,2020-03-31,257
B.1.1.363,2020-03-30,170
B.1.1.364,2020-06-09,15
B.1.1.365,2020-04-29,178
B.1.1.366,2020-03-28,59
B.1.1.367,2020-05-14,18
B.1.1.368,2020-06-09,348
B.1.1.369,2020-03-02,2219
B.1.1.37,2020-03-23,5100
B.1.1.370,2020-04-05,23
B.1.1.371,2020-03-07,91
B.1.1.372,2020-03-08,1434
B.1.1.373,2020-08-07,74
B.1.1.374,2020-10-23,474
B.1.1.375,2020-09-10,80
B.1.1.376,2020-05-11,181
B.1.1.377,2020-10-19,726
B.1.1.378,2020-03-16,115
B.1.1.379,2020-04-05,33
B.1.1.38,2020-05-25,18
B.1.1.380,2020-03-10,110
