,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
1667,XA,B.1.1,2021-01-30,2020-01-04,392,0.0002289156,0.0002247423,0.0003268820,0.0002343786
1668,AY.4.2.1,AY.4.2,2020-12-21,2021-01-01,-11,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1669,AY.4.2.2,AY.4.2,2021-01-08,2021-01-01,101,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1670,AY.4.2.3,AY.4.2,2021-06-07,2021-01-01,165,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1671,AY.4.2.4,AY.4.2,2021-08-01,2021-01-01,212,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1672,AY.4.2.5,AY.4.2,2021-10-22,2021-01-01,294,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1673,B.1.36.1,B.1.36,2020-01-10,2020-02-16,-37,0.0028865934,0.0025221897,0.0026683678,0.0025342132
1674,B.1.36.10,B.1.36,2020-04-24,2020-02-16,68,0.0022200845,0.0017570223,0.0022371270,0.0018650104
1675,B.1.36.12,B.1.36,2020-06-12,2020-02-16,117,0.0012626450,0.0010335946,0.0013048533,0.0011063174
1676,B.1.36.16,B.1.36,2020-05-03,2020-02-16,77,0.0020181261,0.0016414587,0.0020549913,0.0017313740
1677,B.1.36.17,B.1.36,2020-07-16,2020-02-16,151,0.0006429713,0.0004348790,0.0006215084,0.0005201952
1678,B.1.36.18,B.1.36,2020-06-05,2020-02-16,110,0.0007667768,0.0004620455,0.0007737823,0.0005295694
1679,B.1.36.19,B.1.36,2020-06-17,2020-02-16,122,0.0006854307,0.0004106003,0.0006898694,0.0004714942
1680,B.1.36.2,B.1.36,2020-09-27,2020-02-16,224,0.0006783887,0.0005382028,0.0008624139,0.0005780573
1681,B.1.36.20,B.1.36,2020-08-20,2020-02-16,186,0.0008445110,0.0006532967,0.0007598768,0.0006778768
1682,B.1.36.21,B.1.36,2020-10-07,2020-02-16,234,0.0006842557,0.0004898226,0.0006877185,0.0005528726
1683,B.1.36.22,B.1.36,2020-06-04,2020-02-16,109,0.0019294994,0.0017567937,0.0018720825,0.0017707885
1684,B.1.36.23,B.1.36,2020-05-08,2020-02-16,82,0.0017654569,0.0014266188,0.0017931801,0.0016382584
1685,B.1.36.24,B.1.36,2020-06-04,2020-02-16,109,0.0010668618,0.0009465533,0.0010497974,0.0011210857
1686,B.1.36.25,B.1.36,2020-10-12,2020-02-16,239,0.0006571139,0.0004838100,0.0006391785,0.0015552185
1687,B.1.36.26,B.1.36,2020-08-26,2020-02-16,192,0.0004801045,0.0003061438,0.0004773954,0.0003444362
1688,B.1.36.27,B.1.36,2020-09-18,2020-02-16,215,0.0003889421,0.0002329918,0.0003914608,0.0002675456
1689,B.1.36.28,B.1.36,2020-09-09,2020-02-16,206,0.0006382275,0.0005833277,0.0007304764,0.0006299332
1690,B.1.36.29,B.1.36,2020-06-27,2020-02-16,132,0.0007663710,0.0005161118,0.0007685736,0.0005728631
1691,B.1.36.31,B.1.36,2020-03-08,2020-02-16,21,0.0122146788,0.0108222530,0.0121845476,0.0112553249
1692,B.1.36.33,B.1.36,2020-05-23,2020-02-16,97,0.0012421001,0.0008471830,0.0012126033,0.0009469884
1693,B.1.36.34,B.1.36,2020-06-10,2020-02-16,115,0.0025702503,0.0023909046,0.0025944134,0.0024420668
1694,B.1.36.35,B.1.36,2020-09-25,2020-02-16,222,0.0004776552,0.0003007020,0.0004607749,0.0003107055
1695,B.1.36.36,B.1.36,2020-09-05,2020-02-16,202,0.0004139730,0.0002479863,0.0004166538,0.0002847639
1696,B.1.36.37,B.1.36,2020-10-06,2020-02-16,233,0.0003723316,0.0002285944,0.0003746344,0.0002604520
1697,B.1.36.38,B.1.36,2020-06-08,2020-02-16,113,0.0011842878,0.0009617294,0.0012547427,0.0010263460
1698,B.1.36.39,B.1.36,2020-09-21,2020-02-16,218,0.0007457559,0.0004764491,0.0006211524,0.0005478762
1699,B.1.36.7,B.1.36,2020-08-17,2020-02-16,183,0.0014778613,0.0013357742,0.0014874928,0.0013720804
1700,B.1.36.8,B.1.36,2020-04-11,2020-02-16,55,0.0027799364,0.0021862644,0.0027621459,0.0022950630
1701,B.1.36.9,B.1.36,2020-04-21,2020-02-16,65,0.0019365199,0.0013038206,0.0018107147,0.0016021245
1702,P.1.1,P.1,2021-01-04,2020-04-07,272,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1703,P.1.10,P.1,2021-01-26,2020-04-07,309,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1704,P.1.11,P.1,2021-05-10,2020-04-07,398,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1705,P.1.12,P.1,2020-12-23,2020-04-07,260,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1706,P.1.13,P.1,2021-02-24,2020-04-07,323,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1707,P.1.14,P.1,2020-11-03,2020-04-07,210,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1708,P.1.15,P.1,2020-04-13,2020-04-07,285,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1709,P.1.16,P.1,2021-01-31,2020-04-07,299,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1710,P.1.17,P.1,2021-02-23,2020-04-07,322,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1711,P.1.2,P.1,2020-07-22,2020-04-07,296,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1712,P.1.3,P.1,2021-03-12,2020-04-07,339,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1713,P.1.4,P.1,2021-03-19,2020-04-07,346,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1714,P.1.5,P.1,2021-04-03,2020-04-07,361,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1715,P.1.6,P.1,2021-03-26,2020-04-07,353,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1716,P.1.7,P.1,2021-03-15,2020-04-07,342,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1717,P.1.8,P.1,2021-05-03,2020-04-07,391,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1718,P.1.9,P.1,2021-04-09,2020-04-07,367,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1719,AY.124.1,AY.124,2021-06-21,2020-05-11,406,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1720,P.1.12.1,P.1.12,2021-07-17,2020-12-23,206,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1721,K.1,B.1.1.277,2020-07-23,2020-03-17,128,0.0003025458,0.0002067758,0.0004074358,0.0003150787
1722,K.2,B.1.1.277,2020-07-26,2020-03-17,131,0.0011485376,0.0010986746,0.0014065740,0.0011501369
1723,K.3,B.1.1.277,2020-08-29,2020-03-17,165,0.0001877651,0.0000648527,0.0003045040,0.0002044362
1724,BA.2.76.1,BA.2.76,2022-06-19,2021-12-31,170,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1725,BA.2.76.2,BA.2.76,2022-06-23,2021-12-31,174,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1726,BA.1,B.1.1.529,2020-01-05,2020-07-01,428,0.0008477130,0.0007841329,0.0008939385,0.0008530077
1727,BA.2,B.1.1.529,2020-03-28,2020-07-01,478,0.0007156751,0.0007184291,0.0007277984,0.0007189529
1728,BA.3,B.1.1.529,2021-05-05,2020-07-01,510,0.0006061985,0.0005977833,0.0006660502,0.0006231488
1729,BA.4,B.1.1.529,2020-07-02,2020-07-01,555,0.0006788284,0.0006827460,0.0007419982,0.0006854924
1730,BA.5,B.1.1.529,2020-07-01,2020-07-01,502,0.0007398670,0.0007822067,0.0008193560,0.0007464248
1731,XAA,B.1.1.529,2022-02-12,2020-07-01,591,0.0002731720,0.0003380575,0.0003936754,0.0002827059
1732,XAB,B.1.1.529,2022-02-25,2020-07-01,604,0.0003575391,0.0004102035,0.0004885857,0.0003977308
1733,XAC,B.1.1.529,2022-01-11,2020-07-01,559,0.0003232999,0.0003876602,0.0004471427,0.0003332851
1734,XAD,B.1.1.529,2022-02-07,2020-07-01,594,0.0003086917,0.0003588665,0.0004315441,0.0003522328
1735,XAE,B.1.1.529,2022-02-26,2020-07-01,605,0.0003079412,0.0003695823,0.0004221365,0.0003172774
1736,XAF,B.1.1.529,2022-02-22,2020-07-01,618,0.0003437367,0.0003956776,0.0004499237,0.0003537649
1737,XAG,B.1.1.529,2022-03-10,2020-07-01,617,0.0003312179,0.0003904251,0.0004383605,0.0003345816
1738,XAH,B.1.1.529,2022-02-22,2020-07-01,601,0.0003441248,0.0003430785,0.0004438014,0.0002823799
1739,XAK,B.1.1.529,2022-06-01,2020-07-01,700,0.0002711192,0.0002879237,0.0003969541,0.0002906101
1740,XAL,B.1.1.529,2021-12-03,2020-07-01,520,0.0004360144,0.0005054978,0.0005856236,0.0004252911
1741,XAN,B.1.1.529,2022-05-10,2020-07-01,678,0.0004304706,0.0004223585,0.0004395517,0.0004259965
1742,XAP,B.1.1.529,2022-02-22,2020-07-01,649,0.0002858719,0.0003435407,0.0003930634,0.0002944874
1743,XAQ,B.1.1.529,2022-03-05,2020-07-01,612,0.0002637985,0.0003264575,0.0003801670,0.0002730052
1744,XAR,B.1.1.529,2022-02-02,2020-07-01,581,0.0004191697,0.0004697866,0.0005196147,0.0004280222
1745,XAS,B.1.1.529,2022-05-27,2020-07-01,695,0.0002696579,0.0003237326,0.0003693501,0.0002776621
1746,XE,B.1.1.529,2022-01-19,2020-07-01,567,0.0005368877,0.0005296669,0.0005443992,0.0005338533
1747,XG,B.1.1.529,2022-01-11,2020-07-01,559,0.0004022018,0.0004901784,0.0005418742,0.0004126134
1748,XH,B.1.1.529,2021-12-30,2020-07-01,547,0.0003946464,0.0004610543,0.0005293877,0.0004054370
1749,XJ,B.1.1.529,2022-01-19,2020-07-01,567,0.0003851097,0.0004036755,0.0004779679,0.0003432925
1750,XK,B.1.1.529,2022-02-10,2020-07-01,589,0.0003966771,0.0004795230,0.0005155822,0.0004140033
1751,XL,B.1.1.529,2022-02-06,2020-07-01,585,0.0005655296,0.0005725536,0.0005707689,0.0005656342
1752,XN,B.1.1.529,2022-02-13,2020-07-01,592,0.0003578859,0.0003054757,0.0004721500,0.0003133089
1753,XT,B.1.1.529,2021-12-13,2020-07-01,530,0.0003046126,0.0003769660,0.0004389852,0.0003152437
1754,XU,B.1.1.529,2022-01-20,2020-07-01,568,0.0003515588,0.0004170419,0.0004721968,0.0003612904
1755,XV,B.1.1.529,2022-01-31,2020-07-01,579,0.0003984002,0.0004873006,0.0005292295,0.0004211536
1756,XW,B.1.1.529,2022-03-09,2020-07-01,620,0.0005786827,0.0006243678,0.0006549731,0.0005912479
1757,XY,B.1.1.529,2022-02-28,2020-07-01,607,0.0003174080,0.0003779528,0.0004271887,0.0003264644
1758,XZ,B.1.1.529,2022-03-19,2020-07-01,626,0.0003021838,0.0003592160,0.0004121262,0.0003111054
1759,AC.1,B.1.1.405,2020-10-21,2020-09-14,37,0.0000592961,0.0001049116,0.0025922148,0.0006840370
1760,AY.120.2.1,AY.120.2,2021-06-06,2021-03-10,88,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1761,BH.1,BA.2.38.3,2022-06-23,2022-04-03,81,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1762,B.1.575.1,B.1.575,2020-11-19,2020-10-23,38,0.0017639620,0.0006405649,0.0022983908,0.0005945276
1763,B.1.575.2,B.1.575,2021-05-19,2020-10-23,208,0.0003752633,0.0001573552,0.0004909679,0.0001738455
1764,AY.39.1.1,AY.39.1,2021-05-09,2021-01-06,123,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1765,AY.39.1.2,AY.39.1,2021-06-25,2021-01-06,170,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1766,AY.39.1.3,AY.39.1,2021-07-25,2021-01-06,200,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1767,AY.39.1.4,AY.39.1,2021-06-22,2021-01-06,167,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1768,AY.102.1,AY.102,2021-03-20,2020-08-11,331,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1769,AY.102.2,AY.102,2021-07-12,2020-08-11,335,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1770,AY.123.1,AY.123,2021-09-30,2021-01-12,261,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1771,C.30.1,C.30,2020-10-05,2020-08-04,62,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1772,AW.1,B.1.1.464,2020-10-07,2020-03-28,193,0.0000489660,0.0000850963,0.0001789898,0.0001655250
1773,AN.1,B.1.1.200,2020-07-07,2020-03-28,101,0.0004058775,0.0000248546,0.0005795874,0.0000243643
1774,B.6.1,B.6,2020-03-11,2020-01-13,58,0.0019193147,0.0013641125,0.0018301925,0.0026464524
1775,B.6.2,B.6,2020-05-23,2020-01-13,131,0.0008497729,0.0006039582,0.0008103142,0.0011717118
1776,B.6.3,B.6,2020-03-10,2020-01-13,57,0.0019529869,0.0013880443,0.0018623011,0.0026928814
1777,B.6.4,B.6,2020-04-18,2020-01-13,96,0.0011595860,0.0008241513,0.0011057413,0.0015988983
1778,B.6.5,B.6,2020-03-19,2020-01-13,66,0.0016866705,0.0011987656,0.0016083510,0.0023256703
1779,B.6.6,B.6,2020-03-10,2020-01-13,57,0.0019529869,0.0013880443,0.0018623011,0.0026928814
1780,B.6.8,B.6,2020-01-15,2020-01-13,182,0.0006116497,0.0004347172,0.0005832482,0.0008433749
1781,AB.1,B.1.160.16,2020-12-01,2020-09-30,62,0.0007022243,0.0005400166,0.0012035198,0.0016689395
