,Lineage,parent,MIN(collection_date),parent_date,gap,N,M,S,E
180,B.1.210,B.1,2020-03-10,2020-01-01,69,0.0017118760,0.0010974959,0.0016709137,0.0011453272
181,B.1.211,B.1,2020-03-04,2020-01-01,63,0.0021891332,0.0014993783,0.0021630295,0.0015274728
182,B.1.212,B.1,2020-03-03,2020-01-01,62,0.0017051382,0.0009925609,0.0016794517,0.0010212625
183,B.1.213,B.1,2020-05-10,2020-01-01,130,0.0008132197,0.0004733752,0.0008009693,0.0004870636
184,B.1.214,B.1,2020-04-18,2020-01-01,108,0.0009788756,0.0005698035,0.0009641297,0.0005862803
185,B.1.215,B.1,2020-03-14,2020-01-01,73,0.0017189470,0.0011189851,0.0016955369,0.0011432833
186,B.1.218,B.1,2020-07-20,2020-01-01,201,0.0005259630,0.0003061631,0.0005180398,0.0003150163
187,B.1.219,B.1,2020-03-22,2020-01-01,81,0.0013837400,0.0008396729,0.0013637834,0.0008616197
188,B.1.22,B.1,2020-03-05,2020-01-01,64,0.0018320051,0.0011443933,0.0018054448,0.0011721466
189,B.1.220,B.1,2020-03-14,2020-01-01,73,0.0021850791,0.0015942126,0.0021487764,0.0016183638
190,B.1.221,B.1,2020-02-02,2020-01-01,32,0.0033386982,0.0019606132,0.0032896153,0.0020162121
191,B.1.222,B.1,2020-02-24,2020-01-01,54,0.0020177384,0.0012070794,0.0019828682,0.0012139419
192,B.1.223,B.1,2020-02-28,2020-01-01,58,0.0018916827,0.0011316771,0.0018644017,0.0011623384
193,B.1.224,B.1,2020-03-16,2020-01-01,75,0.0021932910,0.0016210890,0.0021578054,0.0016445731
194,B.1.225,B.1,2020-03-19,2020-01-01,78,0.0014896840,0.0009256203,0.0014551071,0.0009483961
195,B.1.227,B.1,2020-03-16,2020-01-01,75,0.0014095809,0.0008205170,0.0013883467,0.0008442436
196,B.1.229,B.1,2020-03-19,2020-01-01,78,0.0032026579,0.0025838842,0.0030863791,0.0026919622
197,B.1.23,B.1,2020-03-18,2020-01-01,77,0.0013729684,0.0007992049,0.0013522858,0.0008223152
198,B.1.231,B.1,2020-03-19,2020-01-01,78,0.0013553662,0.0007889587,0.0013349488,0.0008117727
199,B.1.232,B.1,2020-04-06,2020-01-01,96,0.0014343925,0.0011996894,0.0013384170,0.0011661522
200,B.1.233,B.1,2020-06-16,2020-01-01,167,0.0008652641,0.0003136138,0.0007007909,0.0002606630
201,B.1.234,B.1,2020-05-22,2020-01-01,142,0.0007475200,0.0004410401,0.0006923466,0.0004079968
202,B.1.235,B.1,2020-06-08,2020-01-01,159,0.0006760363,0.0003983409,0.0006658179,0.0004095296
203,B.1.236,B.1,2020-04-15,2020-01-01,105,0.0010728352,0.0006537169,0.0010571153,0.0006706456
204,B.1.237,B.1,2020-04-24,2020-01-01,114,0.0009273558,0.0005398138,0.0009133860,0.0005554234
205,B.1.238,B.1,2020-05-14,2020-01-01,134,0.0007889445,0.0004592446,0.0007770597,0.0004725244
206,B.1.239,B.1,2020-04-09,2020-01-01,99,0.0010123304,0.0006473036,0.0009857870,0.0007094121
207,B.1.240,B.1,2020-03-22,2020-01-01,81,0.0011925209,0.0005985789,0.0009319575,0.0004700295
208,B.1.241,B.1,2020-04-15,2020-01-01,105,0.0011511821,0.0006095058,0.0009885403,0.0005196275
209,B.1.242,B.1,2020-04-21,2020-01-01,111,0.0010697176,0.0006737566,0.0010361357,0.0006897545
210,B.1.243,B.1,2020-03-23,2020-01-01,82,0.0012909868,0.0005463463,0.0012170835,0.0006931201
211,B.1.245,B.1,2020-03-24,2020-01-01,83,0.0018123726,0.0011683396,0.0016679649,0.0012105239
212,B.1.247,B.1,2020-05-04,2020-01-01,124,0.0009956676,0.0007445118,0.0009543750,0.0007587909
213,B.1.248,B.1,2020-03-28,2020-01-01,87,0.0016269259,0.0011244380,0.0016035657,0.0011447705
214,B.1.249,B.1,2020-04-11,2020-01-01,101,0.0010467185,0.0006092948,0.0010309505,0.0006269136
215,B.1.250,B.1,2020-03-12,2020-01-01,71,0.0014889939,0.0008667433,0.0014665635,0.0008918067
216,B.1.251,B.1,2020-06-01,2020-01-01,152,0.0006955169,0.0004048604,0.0006850395,0.0004165676
217,B.1.252,B.1,2020-03-27,2020-01-01,86,0.0012292856,0.0007155672,0.0012107675,0.0007362590
218,B.1.254,B.1,2020-04-06,2020-01-01,96,0.0014231657,0.0009720140,0.0014030859,0.0009872088
219,B.1.256,B.1,2020-03-22,2020-01-01,81,0.0013051675,0.0007597380,0.0012855062,0.0007817071
220,B.1.258,B.1,2020-03-22,2020-01-01,81,0.0013319336,0.0007956237,0.0013175344,0.0008187870
221,B.1.260,B.1,2020-03-24,2020-01-01,83,0.0013182906,0.0007869923,0.0012989643,0.0008084193
222,B.1.263,B.1,2020-03-19,2020-01-01,78,0.0028112985,0.0022758601,0.0027804939,0.0022981733
